イシュー ID,説明,状態,重要度,ストーリー ポイント,プロジェクト パス,場所の種類,パス,線,列,インシデント ID,ヘルプ リンク,アセンブリ名,アセンブリ バージョン,アセンブリ公開キー,スニペット
NuGet.0002,NuGet パッケージのアップグレードをおすすめします,Active,Potential,1,TacosApp.Web.csproj,File,TacosApp.Web.csproj,,,Antlr 3.5.0.2,,,,,"Antlr, 3.5.0.2  レコメンデーション：  Remove Antlr, and replace with new package Antlr4 4.6.6"
NuGet.0002,NuGet パッケージのアップグレードをおすすめします,Active,Potential,1,TacosApp.Web.csproj,File,TacosApp.Web.csproj,,,EntityFramework 6.4.4,,,,,"EntityFramework, 6.4.4  レコメンデーション：  Remove EntityFramework, and replace with new package EntityFramework 6.5.2"
NuGet.0003,NuGet パッケージの機能は、フレームワークの参照に含まれています,Active,Mandatory,1,TacosApp.Web.csproj,File,TacosApp.Web.csproj,,,Microsoft.AspNet.Cors 5.3.0,,,,,"Microsoft.AspNet.Cors, 5.3.0  レコメンデーション：  新しいフレームワーク参照に含まれるパッケージ機能"
NuGet.0003,NuGet パッケージの機能は、フレームワークの参照に含まれています,Active,Mandatory,1,TacosApp.Web.csproj,File,TacosApp.Web.csproj,,,Microsoft.AspNet.Mvc 5.3.0,,,,,"Microsoft.AspNet.Mvc, 5.3.0  レコメンデーション：  新しいフレームワーク参照に含まれるパッケージ機能"
NuGet.0003,NuGet パッケージの機能は、フレームワークの参照に含まれています,Active,Mandatory,1,TacosApp.Web.csproj,File,TacosApp.Web.csproj,,,Microsoft.AspNet.Razor 3.2.9,,,,,"Microsoft.AspNet.Razor, 3.2.9  レコメンデーション：  新しいフレームワーク参照に含まれるパッケージ機能"
NuGet.0001,NuGet パッケージに互換性がありません,Active,Mandatory,1,TacosApp.Web.csproj,File,TacosApp.Web.csproj,,,Microsoft.AspNet.SignalR 2.4.3,,,,,"Microsoft.AspNet.SignalR, 2.4.3  レコメンデーション：  Microsoft.AspNet.SignalR, 2.3.0"
NuGet.0002,NuGet パッケージのアップグレードをおすすめします,Active,Potential,1,TacosApp.Web.csproj,File,TacosApp.Web.csproj,,,Microsoft.AspNet.SignalR.Core 2.4.3,,,,,"Microsoft.AspNet.SignalR.Core, 2.4.3  レコメンデーション：  Remove Microsoft.AspNet.SignalR.Core, and replace with new package Microsoft.AspNetCore.SignalR.Client 10.0.8"
NuGet.0001,NuGet パッケージに互換性がありません,Active,Mandatory,1,TacosApp.Web.csproj,File,TacosApp.Web.csproj,,,Microsoft.AspNet.SignalR.SystemWeb 2.4.3,,,,,"Microsoft.AspNet.SignalR.SystemWeb, 2.4.3  レコメンデーション：  サポートされているバージョンが見つかりません"
NuGet.0001,NuGet パッケージに互換性がありません,Active,Mandatory,1,TacosApp.Web.csproj,File,TacosApp.Web.csproj,,,Microsoft.AspNet.Web.Optimization 1.1.3,,,,,"Microsoft.AspNet.Web.Optimization, 1.1.3  レコメンデーション：  サポートされているバージョンが見つかりません"
NuGet.0003,NuGet パッケージの機能は、フレームワークの参照に含まれています,Active,Mandatory,1,TacosApp.Web.csproj,File,TacosApp.Web.csproj,,,Microsoft.AspNet.WebApi 5.3.0,,,,,"Microsoft.AspNet.WebApi, 5.3.0  レコメンデーション：  新しいフレームワーク参照に含まれるパッケージ機能"
